# Job started on: Wed Aug 30 11:54:55 CEST 2023 .
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug 30 11:55:01 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 2750, ebeam2 = 2750
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# no uncertainties from PDFs
# cross section is ds/dpt (pb/GeV)
# pt      central
  10.5263 3.4910e+06
  10.5764 3.4215e+06
  10.6266 3.3536e+06
  10.6767 3.2873e+06
  10.7268 3.2225e+06
  10.7769 3.1591e+06
  10.8271 3.0973e+06
  10.8772 3.0368e+06
  10.9273 2.9777e+06
  10.9774 2.9200e+06
  11.0276 2.8636e+06
  11.0777 2.8084e+06
  11.1278 2.7544e+06
  11.1779 2.7017e+06
  11.2281 2.6502e+06
  11.2782 2.5998e+06
  11.3283 2.5505e+06
  11.3784 2.5023e+06
  11.4286 2.4552e+06
  11.4787 2.4090e+06
  11.5288 2.3640e+06
  11.5789 2.3198e+06
  11.6291 2.2767e+06
  11.6792 2.2345e+06
  11.7293 2.1932e+06
  11.7794 2.1528e+06
  11.8296 2.1132e+06
  11.8797 2.0746e+06
  11.9298 2.0367e+06
  11.9799 1.9996e+06
  12.0301 1.9634e+06
  12.0802 1.9279e+06
  12.1303 1.8931e+06
  12.1805 1.8591e+06
  12.2306 1.8258e+06
  12.2807 1.7932e+06
  12.3308 1.7613e+06
  12.3810 1.7301e+06
  12.4311 1.6995e+06
  12.4812 1.6696e+06
  12.5313 1.6402e+06
  12.5815 1.6115e+06
  12.6316 1.5833e+06
  12.6817 1.5558e+06
  12.7318 1.5287e+06
  12.7820 1.5023e+06
  12.8321 1.4764e+06
  12.8822 1.4510e+06
  12.9323 1.4261e+06
  12.9825 1.4017e+06
  13.0326 1.3778e+06
  13.0827 1.3544e+06
  13.1328 1.3314e+06
  13.1830 1.3089e+06
  13.2331 1.2868e+06
  13.2832 1.2652e+06
  13.3333 1.2440e+06
  13.3835 1.2232e+06
  13.4336 1.2029e+06
  13.4837 1.1829e+06
  13.5338 1.1633e+06
  13.5840 1.1441e+06
  13.6341 1.1252e+06
  13.6842 1.1068e+06
  13.7343 1.0886e+06
  13.7845 1.0709e+06
  13.8346 1.0534e+06
  13.8847 1.0363e+06
  13.9348 1.0196e+06
  13.9850 1.0031e+06
  14.0351 9.8695e+05
  14.0852 9.7110e+05
  14.1353 9.5555e+05
  14.1855 9.4029e+05
  14.2356 9.2532e+05
  14.2857 9.1062e+05
  14.3358 8.9620e+05
  14.3860 8.8204e+05
  14.4361 8.6815e+05
  14.4862 8.5451e+05
  14.5363 8.4112e+05
  14.5865 8.2799e+05
  14.6366 8.1509e+05
  14.6867 8.0243e+05
  14.7368 7.9000e+05
  14.7870 7.7780e+05
  14.8371 7.6581e+05
  14.8872 7.5405e+05
  14.9373 7.4250e+05
  14.9875 7.3115e+05
  15.0376 7.2001e+05
  15.0877 7.0907e+05
  15.1378 6.9833e+05
  15.1880 6.8778e+05
  15.2381 6.7741e+05
  15.2882 6.6723e+05
  15.3383 6.5722e+05
  15.3885 6.4740e+05
  15.4386 6.3774e+05
  15.4887 6.2826e+05
  15.5388 6.1894e+05
  15.5890 6.0978e+05
  15.6391 6.0079e+05
  15.6892 5.9195e+05
  15.7393 5.8326e+05
  15.7895 5.7472e+05
  15.8396 5.6633e+05
  15.8897 5.5808e+05
  15.9398 5.4998e+05
  15.9900 5.4201e+05
  16.0401 5.3418e+05
  16.0902 5.2648e+05
  16.1404 5.1891e+05
  16.1905 5.1147e+05
  16.2406 5.0415e+05
  16.2907 4.9696e+05
  16.3409 4.8988e+05
  16.3910 4.8293e+05
  16.4411 4.7609e+05
  16.4912 4.6937e+05
  16.5414 4.6276e+05
  16.5915 4.5625e+05
  16.6416 4.4986e+05
  16.6917 4.4356e+05
  16.7419 4.3738e+05
  16.7920 4.3129e+05
  16.8421 4.2530e+05
  16.8922 4.1942e+05
  16.9424 4.1362e+05
  16.9925 4.0792e+05
  17.0426 4.0231e+05
  17.0927 3.9680e+05
  17.1429 3.9137e+05
  17.1930 3.8603e+05
  17.2431 3.8077e+05
  17.2932 3.7560e+05
  17.3434 3.7051e+05
  17.3935 3.6550e+05
  17.4436 3.6058e+05
  17.4937 3.5572e+05
  17.5439 3.5095e+05
  17.5940 3.4625e+05
  17.6441 3.4163e+05
  17.6942 3.3708e+05
  17.7444 3.3259e+05
  17.7945 3.2818e+05
  17.8446 3.2384e+05
  17.8947 3.1957e+05
  17.9449 3.1536e+05
  17.9950 3.1121e+05
  18.0451 3.0713e+05
  18.0952 3.0312e+05
  18.1454 2.9916e+05
  18.1955 2.9527e+05
  18.2456 2.9143e+05
  18.2957 2.8766e+05
  18.3459 2.8394e+05
  18.3960 2.8028e+05
  18.4461 2.7667e+05
  18.4962 2.7312e+05
  18.5464 2.6962e+05
  18.5965 2.6617e+05
  18.6466 2.6278e+05
  18.6967 2.5943e+05
  18.7469 2.5614e+05
  18.7970 2.5289e+05
  18.8471 2.4970e+05
  18.8972 2.4655e+05
  18.9474 2.4345e+05
  18.9975 2.4039e+05
  19.0476 2.3738e+05
  19.0977 2.3441e+05
  19.1479 2.3149e+05
  19.1980 2.2861e+05
  19.2481 2.2577e+05
  19.2982 2.2297e+05
  19.3484 2.2021e+05
  19.3985 2.1750e+05
  19.4486 2.1482e+05
  19.4987 2.1218e+05
  19.5489 2.0958e+05
  19.5990 2.0702e+05
  19.6491 2.0449e+05
  19.6992 2.0200e+05
  19.7494 1.9955e+05
  19.7995 1.9713e+05
  19.8496 1.9474e+05
  19.8997 1.9239e+05
  19.9499 1.9007e+05
  20.0000 1.8779e+05
