# Job started on: Wed Aug 30 11:53:35 CEST 2023 ....
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug 30 11:54:06 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# Uncertainties from PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   7.4747 1.1946e+07 1.1672e+07 1.2220e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1672e+07 1.2220e+07
   7.6768 1.0814e+07 1.0565e+07 1.1062e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0565e+07 1.1062e+07
   7.8788 9.8033e+06 9.5776e+06 1.0029e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.5776e+06 1.0029e+07
   8.0808 8.9010e+06 8.6956e+06 9.1064e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.6956e+06 9.1064e+06
   8.2828 8.0938e+06 7.9064e+06 8.2812e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.9064e+06 8.2812e+06
   8.4848 7.3703e+06 7.1990e+06 7.5415e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.1990e+06 7.5415e+06
   8.6869 6.7208e+06 6.5641e+06 6.8775e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.5641e+06 6.8775e+06
   8.8889 6.1368e+06 5.9932e+06 6.2805e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.9932e+06 6.2805e+06
   9.0909 5.6111e+06 5.4791e+06 5.7430e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4791e+06 5.7430e+06
   9.2929 5.1369e+06 5.0156e+06 5.2583e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0156e+06 5.2583e+06
   9.4949 4.7088e+06 4.5971e+06 4.8206e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5971e+06 4.8206e+06
