# Job started on: Thu Aug 10 10:50:17 CEST 2023 ...
# FONLL heavy quark hadroproduction cross section, calculated on Thu Aug 10 10:50:37 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 3500, ebeam2 = 3500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# Uncertainties from PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   0.2020 4.6601e+07 2.2232e+07 7.0971e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2232e+07 7.0971e+07
   0.4040 9.1451e+07 4.6236e+07 1.3666e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.6236e+07 1.3666e+08
   0.6061 1.3847e+08 7.5979e+07 2.0097e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5979e+07 2.0097e+08
   0.8081 1.8842e+08 1.1199e+08 2.6484e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1199e+08 2.6484e+08
   1.0101 2.4071e+08 1.5426e+08 3.2715e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5426e+08 3.2715e+08
   1.2121 2.8778e+08 1.9618e+08 3.7938e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9618e+08 3.7938e+08
   1.4141 3.2262e+08 2.3095e+08 4.1428e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3095e+08 4.1428e+08
   1.6162 3.4148e+08 2.5397e+08 4.2903e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5397e+08 4.2903e+08
   1.8182 3.4492e+08 2.6432e+08 4.2547e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6432e+08 4.2547e+08
   2.0202 3.3557e+08 2.6342e+08 4.0774e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6342e+08 4.0774e+08
   2.2222 3.1748e+08 2.5410e+08 3.8088e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5410e+08 3.8088e+08
   2.4242 2.9422e+08 2.3923e+08 3.4918e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3923e+08 3.4918e+08
   2.6263 2.6849e+08 2.2127e+08 3.1573e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2127e+08 3.1573e+08
   2.8283 2.4236e+08 2.0197e+08 2.8274e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0197e+08 2.8274e+08
   3.0303 2.1707e+08 1.8264e+08 2.5150e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8264e+08 2.5150e+08
   3.2323 1.9343e+08 1.6411e+08 2.2275e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6411e+08 2.2275e+08
   3.4343 1.7182e+08 1.4683e+08 1.9680e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4683e+08 1.9680e+08
   3.6364 1.5228e+08 1.3096e+08 1.7359e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3096e+08 1.7359e+08
   3.8384 1.3475e+08 1.1653e+08 1.5297e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1653e+08 1.5297e+08
   4.0404 1.1914e+08 1.0355e+08 1.3473e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0355e+08 1.3473e+08
   4.2424 1.0530e+08 9.1929e+07 1.1866e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.1929e+07 1.1866e+08
   4.4444 9.3049e+07 8.1560e+07 1.0454e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.1560e+07 1.0454e+08
   4.6465 8.2261e+07 7.2362e+07 9.2159e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.2362e+07 9.2159e+07
