# Job started on: Thu Aug 10 10:13:33 CEST 2023 ...
# FONLL heavy quark hadroproduction cross section, calculated on Thu Aug 10 10:13:53 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 1375, ebeam2 = 1375
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# Uncertainties from PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   7.4747 6.7515e+06 6.2542e+06 7.2488e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.2542e+06 7.2488e+06
   7.6768 6.0595e+06 5.6152e+06 6.5038e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6152e+06 6.5038e+06
   7.8788 5.4478e+06 5.0499e+06 5.8457e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0499e+06 5.8457e+06
   8.0808 4.9061e+06 4.5490e+06 5.2633e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5490e+06 5.2633e+06
   8.2828 4.4259e+06 4.1046e+06 4.7471e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.1046e+06 4.7471e+06
   8.4848 3.9992e+06 3.7097e+06 4.2888e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7097e+06 4.2888e+06
   8.6869 3.6194e+06 3.3580e+06 3.8809e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3580e+06 3.8809e+06
   8.8889 3.2807e+06 3.0442e+06 3.5172e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0442e+06 3.5172e+06
   9.0909 2.9780e+06 2.7637e+06 3.1924e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7637e+06 3.1924e+06
   9.2929 2.7071e+06 2.5124e+06 2.9017e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5124e+06 2.9017e+06
   9.4949 2.4641e+06 2.2871e+06 2.6411e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2871e+06 2.6411e+06
   9.6970 2.2458e+06 2.0846e+06 2.4071e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0846e+06 2.4071e+06
   9.8990 2.0496e+06 1.9024e+06 2.1967e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9024e+06 2.1967e+06
  10.1010 1.8730e+06 1.7385e+06 2.0075e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7385e+06 2.0075e+06
  10.3030 1.7139e+06 1.5908e+06 1.8369e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5908e+06 1.8369e+06
  10.5051 1.5703e+06 1.4575e+06 1.6830e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4575e+06 1.6830e+06
  10.7071 1.4404e+06 1.3370e+06 1.5439e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3370e+06 1.5439e+06
  10.9091 1.3230e+06 1.2279e+06 1.4180e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2279e+06 1.4180e+06
  11.1111 1.2164e+06 1.1290e+06 1.3039e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1290e+06 1.3039e+06
  11.3131 1.1198e+06 1.0392e+06 1.2003e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0392e+06 1.2003e+06
  11.5152 1.0319e+06 9.5766e+05 1.1061e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.5766e+05 1.1061e+06
  11.7172 9.5194e+05 8.8342e+05 1.0205e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.8342e+05 1.0205e+06
  11.9192 8.7910e+05 8.1577e+05 9.4242e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.1577e+05 9.4242e+05
  12.1212 8.1264e+05 7.5406e+05 8.7122e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5406e+05 8.7122e+05
  12.3232 7.5195e+05 6.9770e+05 8.0620e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.9770e+05 8.0620e+05
  12.5253 6.9645e+05 6.4616e+05 7.4674e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4616e+05 7.4674e+05
  12.7273 6.4565e+05 5.9899e+05 6.9231e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.9899e+05 6.9231e+05
  12.9293 5.9910e+05 5.5576e+05 6.4244e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.5576e+05 6.4244e+05
  13.1313 5.5640e+05 5.1611e+05 5.9669e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.1611e+05 5.9669e+05
  13.3333 5.1719e+05 4.7970e+05 5.5467e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.7970e+05 5.5467e+05
  13.5354 4.8115e+05 4.4624e+05 5.1606e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.4624e+05 5.1606e+05
  13.7374 4.4799e+05 4.1545e+05 4.8052e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.1545e+05 4.8052e+05
  13.9394 4.1745e+05 3.8710e+05 4.4780e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.8710e+05 4.4780e+05
  14.1414 3.8930e+05 3.6097e+05 4.1764e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6097e+05 4.1764e+05
  14.3434 3.6334e+05 3.3686e+05 3.8981e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3686e+05 3.8981e+05
  14.5455 3.3936e+05 3.1460e+05 3.6411e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.1460e+05 3.6411e+05
  14.7475 3.1720e+05 2.9404e+05 3.4036e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.9404e+05 3.4036e+05
  14.9495 2.9670e+05 2.7502e+05 3.1839e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7502e+05 3.1839e+05
  15.1515 2.7773e+05 2.5741e+05 2.9806e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5741e+05 2.9806e+05
  15.3535 2.6016e+05 2.4110e+05 2.7921e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4110e+05 2.7921e+05
  15.5556 2.4386e+05 2.2598e+05 2.6174e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2598e+05 2.6174e+05
  15.7576 2.2874e+05 2.1195e+05 2.4553e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1195e+05 2.4553e+05
  15.9596 2.1470e+05 1.9893e+05 2.3047e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9893e+05 2.3047e+05
  16.1616 2.0166e+05 1.8683e+05 2.1648e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8683e+05 2.1648e+05
  16.3636 1.8953e+05 1.7559e+05 2.0348e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7559e+05 2.0348e+05
  16.5657 1.7825e+05 1.6512e+05 1.9137e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6512e+05 1.9137e+05
  16.7677 1.6774e+05 1.5538e+05 1.8010e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5538e+05 1.8010e+05
  16.9697 1.5796e+05 1.4631e+05 1.6960e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4631e+05 1.6960e+05
  17.1717 1.4884e+05 1.3786e+05 1.5981e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3786e+05 1.5981e+05
  17.3737 1.4033e+05 1.2997e+05 1.5068e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2997e+05 1.5068e+05
  17.5758 1.3238e+05 1.2261e+05 1.4215e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2261e+05 1.4215e+05
  17.7778 1.2496e+05 1.1573e+05 1.3418e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1573e+05 1.3418e+05
  17.9798 1.1801e+05 1.0929e+05 1.2672e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0929e+05 1.2672e+05
  18.1818 1.1150e+05 1.0326e+05 1.1974e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0326e+05 1.1974e+05
  18.3838 1.0540e+05 9.7604e+04 1.1319e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.7604e+04 1.1319e+05
  18.5859 9.9682e+04 9.2307e+04 1.0705e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.2307e+04 1.0705e+05
  18.7879 9.4320e+04 8.7339e+04 1.0130e+05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.7339e+04 1.0130e+05
  18.9899 8.9288e+04 8.2677e+04 9.5898e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.2677e+04 9.5898e+04
  19.1919 8.4564e+04 7.8300e+04 9.0827e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.8300e+04 9.0827e+04
  19.3939 8.0127e+04 7.4189e+04 8.6064e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.4189e+04 8.6064e+04
  19.5960 7.5958e+04 7.0326e+04 8.1588e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.0326e+04 8.1588e+04
  19.7980 7.2038e+04 6.6695e+04 7.7380e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.6695e+04 7.7380e+04
  20.0000 6.8351e+04 6.3280e+04 7.3421e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.3280e+04 7.3421e+04
