# Job started on: Thu Aug 10 10:51:00 CEST 2023 ...
# FONLL heavy quark hadroproduction cross section, calculated on Thu Aug 10 10:51:30 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.4 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# Uncertainties from PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   7.4747 2.7480e+07 2.6804e+07 2.8156e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6804e+07 2.8156e+07
   7.6768 2.5076e+07 2.4464e+07 2.5688e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4464e+07 2.5688e+07
   7.8788 2.2913e+07 2.2357e+07 2.3470e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2357e+07 2.3470e+07
   8.0808 2.0965e+07 2.0458e+07 2.1472e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0458e+07 2.1472e+07
   8.2828 1.9207e+07 1.8745e+07 1.9669e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8745e+07 1.9669e+07
   8.4848 1.7619e+07 1.7196e+07 1.8042e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7196e+07 1.8042e+07
   8.6869 1.6182e+07 1.5794e+07 1.6569e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5794e+07 1.6569e+07
   8.8889 1.4880e+07 1.4524e+07 1.5236e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4524e+07 1.5236e+07
   9.0909 1.3699e+07 1.3372e+07 1.4026e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3372e+07 1.4026e+07
   9.2929 1.2626e+07 1.2325e+07 1.2928e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2325e+07 1.2928e+07
   9.4949 1.1651e+07 1.1373e+07 1.1929e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1373e+07 1.1929e+07
   9.6970 1.0763e+07 1.0506e+07 1.1020e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0506e+07 1.1020e+07
