# Job started on: Thu Aug 10 10:51:50 CEST 2023 ...
# FONLL heavy quark hadroproduction cross section, calculated on Thu Aug 10 10:52:11 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# Uncertainties from PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   0.2020 5.1023e+07 2.3265e+07 7.8782e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3265e+07 7.8782e+07
   0.4040 1.0143e+08 4.9707e+07 1.5315e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.9707e+07 1.5315e+08
   0.6061 1.5698e+08 8.4907e+07 2.2905e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.4907e+07 2.2905e+08
   0.8081 2.1891e+08 1.2974e+08 3.0807e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2974e+08 3.0807e+08
   1.0101 2.8765e+08 1.8518e+08 3.9012e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8518e+08 3.9012e+08
   1.2121 3.5360e+08 2.4306e+08 4.6414e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4306e+08 4.6414e+08
   1.4141 4.0706e+08 2.9435e+08 5.1976e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.9435e+08 5.1976e+08
   1.6162 4.4155e+08 3.3202e+08 5.5107e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3202e+08 5.5107e+08
   1.8182 4.5598e+08 3.5348e+08 5.5852e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5348e+08 5.5852e+08
   2.0202 4.5289e+08 3.5968e+08 5.4609e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5968e+08 5.4609e+08
   2.2222 4.3656e+08 3.5354e+08 5.1957e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5354e+08 5.1957e+08
   2.4242 4.1150e+08 3.3865e+08 4.8438e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3865e+08 4.8438e+08
   2.6263 3.8157e+08 3.1818e+08 4.4493e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.1818e+08 4.4493e+08
   2.8283 3.4950e+08 2.9475e+08 4.0425e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.9475e+08 4.0425e+08
   3.0303 3.1732e+08 2.7016e+08 3.6448e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7016e+08 3.6448e+08
   3.2323 2.8638e+08 2.4582e+08 3.2695e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4582e+08 3.2695e+08
   3.4343 2.5745e+08 2.2256e+08 2.9234e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2256e+08 2.9234e+08
   3.6364 2.3075e+08 2.0070e+08 2.6080e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0070e+08 2.6080e+08
   3.8384 2.0637e+08 1.8045e+08 2.3229e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8045e+08 2.3229e+08
   4.0404 1.8429e+08 1.6191e+08 2.0667e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6191e+08 2.0667e+08
   4.2424 1.6441e+08 1.4505e+08 1.8377e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4505e+08 1.8377e+08
   4.4444 1.4658e+08 1.2979e+08 1.6337e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2979e+08 1.6337e+08
   4.6465 1.3068e+08 1.1608e+08 1.4527e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1608e+08 1.4527e+08
   4.8485 1.1658e+08 1.0387e+08 1.2930e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0387e+08 1.2930e+08
   5.0505 1.0410e+08 9.2998e+07 1.1520e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.2998e+07 1.1520e+08
   5.2525 9.3054e+07 8.3327e+07 1.0278e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.3327e+07 1.0278e+08
   5.4545 8.3278e+07 7.4728e+07 9.1827e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.4728e+07 9.1827e+07
   5.6566 7.4657e+07 6.7120e+07 8.2195e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.7120e+07 8.2195e+07
   5.8586 6.7053e+07 6.0388e+07 7.3719e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.0388e+07 7.3719e+07
   6.0606 6.0330e+07 5.4420e+07 6.6241e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4420e+07 6.6241e+07
   6.2626 5.4373e+07 4.9117e+07 5.9629e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.9117e+07 5.9629e+07
   6.4646 4.9083e+07 4.4396e+07 5.3770e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.4396e+07 5.3770e+07
