# Job started on: Wed Aug 30 11:56:33 CEST 2023 ....
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug 30 11:57:03 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.4 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 3500, ebeam2 = 3500
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# Uncertainties from PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   0.2020 3.7107e+07 2.2278e+07 5.1936e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2278e+07 5.1936e+07
   0.4040 7.2384e+07 4.5984e+07 9.8775e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5984e+07 9.8775e+07
   0.6061 1.0911e+08 7.5037e+07 1.4319e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5037e+07 1.4319e+08
   0.8081 1.4836e+08 1.1003e+08 1.8668e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1003e+08 1.8668e+08
   1.0101 1.9046e+08 1.5096e+08 2.2998e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5096e+08 2.2998e+08
   1.2121 2.2957e+08 1.9147e+08 2.6768e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9147e+08 2.6768e+08
   1.4141 2.5990e+08 2.2510e+08 2.9470e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2510e+08 2.9470e+08
   1.6162 2.7801e+08 2.4752e+08 3.0848e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4752e+08 3.0848e+08
   1.8182 2.8368e+08 2.5777e+08 3.0959e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5777e+08 3.0959e+08
   2.0202 2.7881e+08 2.5726e+08 3.0037e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5726e+08 3.0037e+08
   2.2222 2.6631e+08 2.4860e+08 2.8404e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4860e+08 2.8404e+08
   2.4242 2.4899e+08 2.3450e+08 2.6346e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3450e+08 2.6346e+08
   2.6263 2.2917e+08 2.1736e+08 2.4097e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1736e+08 2.4097e+08
   2.8283 2.0849e+08 1.9884e+08 2.1814e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9884e+08 2.1814e+08
   3.0303 1.8810e+08 1.8018e+08 1.9601e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8018e+08 1.9601e+08
   3.2323 1.6874e+08 1.6221e+08 1.7526e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6221e+08 1.7526e+08
   3.4343 1.5079e+08 1.4538e+08 1.5620e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4538e+08 1.5620e+08
   3.6364 1.3436e+08 1.2985e+08 1.3888e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2985e+08 1.3888e+08
   3.8384 1.1943e+08 1.1564e+08 1.2322e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1564e+08 1.2322e+08
   4.0404 1.0596e+08 1.0276e+08 1.0916e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0276e+08 1.0916e+08
   4.2424 9.3918e+07 9.1204e+07 9.6632e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.1204e+07 9.6632e+07
   4.4444 8.3200e+07 8.0882e+07 8.5517e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.0882e+07 8.5517e+07
   4.6465 7.3771e+07 7.1779e+07 7.5762e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.1779e+07 7.5762e+07
   4.8485 6.5530e+07 6.3811e+07 6.7250e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.3811e+07 6.7250e+07
   5.0505 5.8306e+07 5.6814e+07 5.9799e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6814e+07 5.9799e+07
   5.2525 5.1955e+07 5.0652e+07 5.3257e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0652e+07 5.3257e+07
   5.4545 4.6355e+07 4.5213e+07 4.7496e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5213e+07 4.7496e+07
   5.6566 4.1421e+07 4.0416e+07 4.2427e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.0416e+07 4.2427e+07
   5.8586 3.7075e+07 3.6186e+07 3.7963e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6186e+07 3.7963e+07
   6.0606 3.3240e+07 3.2452e+07 3.4028e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2452e+07 3.4028e+07
   6.2626 2.9852e+07 2.9150e+07 3.0554e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.9150e+07 3.0554e+07
   6.4646 2.6854e+07 2.6228e+07 2.7481e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6228e+07 2.7481e+07
   6.6667 2.4198e+07 2.3636e+07 2.4760e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3636e+07 2.4760e+07
   6.8687 2.1838e+07 2.1333e+07 2.2343e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1333e+07 2.2343e+07
   7.0707 1.9738e+07 1.9283e+07 2.0193e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9283e+07 2.0193e+07
   7.2727 1.7868e+07 1.7456e+07 1.8278e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7456e+07 1.8278e+07
   7.4747 1.6198e+07 1.5826e+07 1.6570e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5826e+07 1.6570e+07
   7.6768 1.4707e+07 1.4369e+07 1.5044e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4369e+07 1.5044e+07
   7.8788 1.3372e+07 1.3065e+07 1.3680e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3065e+07 1.3680e+07
   8.0808 1.2176e+07 1.1896e+07 1.2457e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1896e+07 1.2457e+07
   8.2828 1.1103e+07 1.0848e+07 1.1359e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0848e+07 1.1359e+07
   8.4848 1.0138e+07 9.9044e+06 1.0372e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.9044e+06 1.0372e+07
   8.6869 9.2697e+06 9.0552e+06 9.4842e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.0552e+06 9.4842e+06
   8.8889 8.4864e+06 8.2895e+06 8.6833e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.2895e+06 8.6833e+06
   9.0909 7.7792e+06 7.5981e+06 7.9602e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5981e+06 7.9602e+06
   9.2929 7.1397e+06 6.9729e+06 7.3065e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.9729e+06 7.3065e+06
   9.4949 6.5608e+06 6.4070e+06 6.7146e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4070e+06 6.7146e+06
   9.6970 6.0360e+06 5.8939e+06 6.1781e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.8939e+06 6.1781e+06
   9.8990 5.5597e+06 5.4283e+06 5.6912e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4283e+06 5.6912e+06
  10.1010 5.1269e+06 5.0052e+06 5.2486e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0052e+06 5.2486e+06
  10.3030 4.7330e+06 4.6201e+06 4.8459e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.6201e+06 4.8459e+06
  10.5051 4.3741e+06 4.2693e+06 4.4789e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.2693e+06 4.4789e+06
  10.7071 4.0467e+06 3.9493e+06 4.1441e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.9493e+06 4.1441e+06
  10.9091 3.7477e+06 3.6570e+06 3.8384e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6570e+06 3.8384e+06
  11.1111 3.4742e+06 3.3898e+06 3.5587e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3898e+06 3.5587e+06
  11.3131 3.2239e+06 3.1452e+06 3.3027e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.1452e+06 3.3027e+06
  11.5152 2.9946e+06 2.9210e+06 3.0681e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.9210e+06 3.0681e+06
  11.7172 2.7841e+06 2.7154e+06 2.8528e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7154e+06 2.8528e+06
  11.9192 2.5909e+06 2.5266e+06 2.6552e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5266e+06 2.6552e+06
  12.1212 2.4132e+06 2.3530e+06 2.4734e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3530e+06 2.4734e+06
  12.3232 2.2498e+06 2.1933e+06 2.3062e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1933e+06 2.3062e+06
  12.5253 2.0992e+06 2.0463e+06 2.1521e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0463e+06 2.1521e+06
  12.7273 1.9603e+06 1.9106e+06 2.0100e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9106e+06 2.0100e+06
  12.9293 1.8322e+06 1.7855e+06 1.8788e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7855e+06 1.8788e+06
  13.1313 1.7138e+06 1.6699e+06 1.7576e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6699e+06 1.7576e+06
